irrigation_zone,gmr,crop_group,irrigation_pattern,seasonal_norm_m3ha,start_month_day,end_month_day,source
boz,I,cotton,2-6-2,7600,05-01,09-10,Qashqadaryo p305
boz,II,cotton,2-5-1,6900,05-01,09-05,Qashqadaryo p305
boz,III,cotton,2-3-1,6600,05-11,09-05,Qashqadaryo p305
boz,V,cotton,1-3-1,4900,05-26,08-31,Qashqadaryo p305
boz,VI,cotton,1-3-1,5900,05-21,08-31,Qashqadaryo p305
boz,VII,cotton,2-4-1,5600,05-11,08-31,Qashqadaryo p305
boz,VIII,cotton,1-2-0,2300,06-06,08-25,Qashqadaryo p305
boz,IX,cotton,1-3-0,4200,06-01,08-25,Qashqadaryo p305
boz,I,alfalfa,12,10000,03-26,10-10,Qashqadaryo p305
boz,II,alfalfa,10,9600,03-26,09-20,Qashqadaryo p305
boz,III,alfalfa,8,9100,04-06,09-20,Qashqadaryo p305
boz,V,alfalfa,7,8200,04-11,09-15,Qashqadaryo p305
boz,VI,alfalfa,7,7300,04-16,09-15,Qashqadaryo p305
boz,VII,alfalfa,8,6800,04-06,09-15,Qashqadaryo p305
boz,VIII,alfalfa,5,5500,04-26,08-31,Qashqadaryo p305
boz,IX,alfalfa,5,6400,04-21,09-05,Qashqadaryo p305
boz,I,maize,9,7000,04-21,08-15,Qashqadaryo p305
boz,II,maize,7,6400,04-21,08-15,Qashqadaryo p305
boz,III,maize,6,6100,05-01,08-15,Qashqadaryo p305
boz,V,maize,5,4900,05-16,08-05,Qashqadaryo p305
boz,VI,maize,6,5800,05-11,08-10,Qashqadaryo p305
boz,VII,maize,8,5800,05-01,08-05,Qashqadaryo p305
boz,VIII,maize,4,3700,05-26,07-25,Qashqadaryo p305
boz,IX,maize,5,4600,05-21,07-31,Qashqadaryo p305
boz,I,vegetables,26,13700,03-11,10-20,Qashqadaryo p305
boz,II,vegetables,21,12400,03-21,10-15,Qashqadaryo p305
boz,III,vegetables,17,11900,04-01,10-15,Qashqadaryo p305
boz,V,vegetables,14,8800,04-16,10-10,Qashqadaryo p305
boz,VI,vegetables,16,10600,04-11,10-10,Qashqadaryo p305
boz,VII,vegetables,21,10100,04-01,10-10,Qashqadaryo p305
boz,VIII,vegetables,10,5900,04-26,09-30,Qashqadaryo p306
boz,IX,vegetables,11,7700,04-21,09-30,Qashqadaryo p306
boz,I,melons,9,4900,04-26,09-05,Qashqadaryo p306
boz,II,melons,8,4500,04-26,09-05,Qashqadaryo p306
boz,III,melons,6,4300,05-06,09-05,Qashqadaryo p306
boz,V,melons,5,3200,05-21,08-25,Qashqadaryo p306
boz,VI,melons,6,3800,05-16,08-25,Qashqadaryo p306
boz,VII,melons,6,3600,05-06,08-25,Qashqadaryo p306
boz,VIII,melons,4,2200,06-01,08-20,Qashqadaryo p306
boz,IX,melons,4,2800,05-26,08-20,Qashqadaryo p306
boz,I,orchard,8,5500,04-06,09-30,Qashqadaryo p306
boz,II,orchard,7,4800,04-11,09-25,Qashqadaryo p306
boz,III,orchard,5,4600,04-21,09-25,Qashqadaryo p306
boz,V,orchard,4,3400,05-06,09-20,Qashqadaryo p306
boz,VI,orchard,4,4100,05-01,09-20,Qashqadaryo p306
boz,VII,orchard,6,3900,04-21,09-20,Qashqadaryo p306
boz,VIII,orchard,3,2300,05-16,09-15,Qashqadaryo p306
boz,IX,orchard,3,3000,05-11,09-15,Qashqadaryo p306
boz,I,winter_grain,5,3700,09-16,05-20,Qashqadaryo p306
boz,II,winter_grain,4,3300,09-16,05-15,Qashqadaryo p306
boz,III,winter_grain,4,3100,09-16,05-15,Qashqadaryo p306
boz,V,winter_grain,3,2700,09-21,05-15,Qashqadaryo p306
boz,VI,winter_grain,3,2900,09-21,05-15,Qashqadaryo p306
boz,VII,winter_grain,3,2700,09-21,05-15,Qashqadaryo p306
boz,VIII,winter_grain,2,2000,09-26,05-15,Qashqadaryo p306
boz,IX,winter_grain,2,2200,09-26,05-15,Qashqadaryo p306
chol,III,cotton,2-5-1,8500,05-21,09-20,Qashqadaryo p306
chol,IV,cotton,3-8-1,9300,05-11,09-20,Qashqadaryo p306
chol,VI,cotton,2-4-1,7600,06-01,09-15,Qashqadaryo p306
chol,VII,cotton,3-5-1,7200,05-21,09-15,Qashqadaryo p306
chol,IX,cotton,1-4-0,5500,06-11,09-10,Qashqadaryo p306
chol,III,alfalfa,10,11800,04-01,09-25,Qashqadaryo p306
chol,IV,alfalfa,13,11200,03-21,09-25,Qashqadaryo p306
chol,VI,alfalfa,9,10600,04-06,09-20,Qashqadaryo p306
chol,VII,alfalfa,10,8800,04-01,09-20,Qashqadaryo p307
chol,IX,alfalfa,7,8200,04-16,09-10,Qashqadaryo p307
chol,III,maize,8,7800,04-26,08-15,Qashqadaryo p307
chol,IV,maize,11,8600,04-16,08-05,Qashqadaryo p307
chol,VI,maize,8,7400,05-06,07-31,Qashqadaryo p307
chol,VII,maize,10,7400,04-26,08-10,Qashqadaryo p307
chol,IX,maize,6,5900,05-16,07-25,Qashqadaryo p307
chol,III,vegetables,24,15300,03-26,10-20,Qashqadaryo p307
chol,IV,vegetables,38,16700,03-16,10-20,Qashqadaryo p307
chol,VI,vegetables,22,13700,04-06,10-15,Qashqadaryo p307
chol,VII,vegetables,30,13000,03-16,10-15,Qashqadaryo p307
chol,IX,vegetables,16,9900,04-16,10-10,Qashqadaryo p307
chol,III,melons,9,5500,05-01,09-10,Qashqadaryo p307
chol,IV,melons,12,6000,04-21,09-10,Qashqadaryo p307
chol,VI,melons,8,4900,05-11,08-31,Qashqadaryo p307
chol,VII,melons,9,4700,05-01,08-31,Qashqadaryo p307
chol,IX,melons,6,3500,05-21,08-25,Qashqadaryo p307
chol,III,orchard,7,6000,04-16,09-30,Qashqadaryo p307
chol,IV,orchard,12,6500,04-06,09-30,Qashqadaryo p307
chol,VI,orchard,6,5300,04-26,09-25,Qashqadaryo p307
chol,VII,orchard,9,5000,04-16,09-25,Qashqadaryo p307
chol,IX,orchard,4,3900,05-06,09-20,Qashqadaryo p307
chol,III,winter_grain,4,3100,09-11,05-15,Qashqadaryo p307
chol,IV,winter_grain,4,3000,09-11,05-15,Qashqadaryo p307
chol,VI,winter_grain,3,2900,09-16,05-15,Qashqadaryo p307
chol,VII,winter_grain,3,2700,09-16,05-15,Qashqadaryo p307
chol,IX,winter_grain,2,2200,09-21,05-15,Qashqadaryo p307
